10.225.152.165 - - [07/Apr/2016:09:51:37 +0900] "GET /hitTheRoad HTTP/1.1" 200 104404
10.225.152.165 - - [07/Apr/2016:09:51:37 +0900] "GET /image?imageName=Hongdae.jpg HTTP/1.1" 200 25097
10.225.152.165 - - [07/Apr/2016:09:51:37 +0900] "GET /image?imageName=World%20Cup%20Park.jpg HTTP/1.1" 200 9727
10.225.152.165 - - [07/Apr/2016:09:51:37 +0900] "GET /image?imageName=Lotte%20World.jpg HTTP/1.1" 200 11501
10.225.152.165 - - [07/Apr/2016:09:51:37 +0900] "GET /image?imageName=Gwangjang%20Market.jpg HTTP/1.1" 200 14873
10.225.152.165 - - [07/Apr/2016:09:51:37 +0900] "GET /image?imageName=Ihwa%20Mural%20Village.jpg HTTP/1.1" 200 15192
10.225.152.165 - - [07/Apr/2016:09:51:53 +0900] "GET /hitTheRoad?selectedPackageId=packIdIs65 HTTP/1.1" 200 109426
10.225.152.165 - - [07/Apr/2016:09:51:53 +0900] "GET /image?imageName=Hongdae.jpg HTTP/1.1" 200 25097
10.225.152.165 - - [07/Apr/2016:09:51:53 +0900] "GET /image?imageName=World%20Cup%20Park.jpg HTTP/1.1" 200 9727
10.225.152.165 - - [07/Apr/2016:09:51:53 +0900] "GET /image?imageName=Lotte%20World.jpg HTTP/1.1" 200 11501
10.225.152.165 - - [07/Apr/2016:09:51:53 +0900] "GET /image?imageName=Gwangjang%20Market.jpg HTTP/1.1" 200 14873
10.225.152.165 - - [07/Apr/2016:09:51:53 +0900] "GET /image?imageName=Ihwa%20Mural%20Village.jpg HTTP/1.1" 200 15192
10.225.152.165 - - [07/Apr/2016:09:51:55 +0900] "GET /hitTheRoad?selectedPackageId=packIdIs98 HTTP/1.1" 200 112720
10.225.152.165 - - [07/Apr/2016:09:51:55 +0900] "GET /image?imageName=Hongdae.jpg HTTP/1.1" 200 25097
10.225.152.165 - - [07/Apr/2016:09:51:55 +0900] "GET /image?imageName=World%20Cup%20Park.jpg HTTP/1.1" 200 9727
10.225.152.165 - - [07/Apr/2016:09:51:55 +0900] "GET /image?imageName=Lotte%20World.jpg HTTP/1.1" 200 11501
10.225.152.165 - - [07/Apr/2016:09:51:55 +0900] "GET /image?imageName=Gwangjang%20Market.jpg HTTP/1.1" 200 14873
10.225.152.165 - - [07/Apr/2016:09:51:55 +0900] "GET /image?imageName=Ihwa%20Mural%20Village.jpg HTTP/1.1" 200 15192
10.225.152.165 - - [07/Apr/2016:09:51:56 +0900] "GET /hitTheRoad?selectedPackageId=packIdIs45 HTTP/1.1" 200 109396
10.225.152.165 - - [07/Apr/2016:09:51:57 +0900] "GET /image?imageName=Hongdae.jpg HTTP/1.1" 200 25097
10.225.152.165 - - [07/Apr/2016:09:51:57 +0900] "GET /image?imageName=World%20Cup%20Park.jpg HTTP/1.1" 200 9727
10.225.152.165 - - [07/Apr/2016:09:51:57 +0900] "GET /image?imageName=Lotte%20World.jpg HTTP/1.1" 200 11501
10.225.152.165 - - [07/Apr/2016:09:51:57 +0900] "GET /image?imageName=Gwangjang%20Market.jpg HTTP/1.1" 200 14873
10.225.152.165 - - [07/Apr/2016:09:51:57 +0900] "GET /image?imageName=Ihwa%20Mural%20Village.jpg HTTP/1.1" 200 15192
10.225.152.165 - - [07/Apr/2016:09:51:59 +0900] "GET /hitTheRoad?selectedPackageId=packIdIs46 HTTP/1.1" 200 127587
10.225.152.165 - - [07/Apr/2016:09:51:59 +0900] "GET /image?imageName=Hongdae.jpg HTTP/1.1" 200 25097
10.225.152.165 - - [07/Apr/2016:09:51:59 +0900] "GET /image?imageName=World%20Cup%20Park.jpg HTTP/1.1" 200 9727
10.225.152.165 - - [07/Apr/2016:09:51:59 +0900] "GET /image?imageName=Lotte%20World.jpg HTTP/1.1" 200 11501
10.225.152.165 - - [07/Apr/2016:09:51:59 +0900] "GET /image?imageName=Gwangjang%20Market.jpg HTTP/1.1" 200 14873
10.225.152.165 - - [07/Apr/2016:09:51:59 +0900] "GET /image?imageName=Ihwa%20Mural%20Village.jpg HTTP/1.1" 200 15192
10.225.152.165 - - [07/Apr/2016:09:52:22 +0900] "GET /myPack HTTP/1.1" 200 11592
10.225.152.165 - - [07/Apr/2016:09:52:55 +0900] "GET /showPackPlace?packId=99 HTTP/1.1" 200 19718
10.225.152.165 - - [07/Apr/2016:09:52:55 +0900] "GET /image?imageName=Siena.jpg HTTP/1.1" 200 10690
10.225.152.165 - - [07/Apr/2016:09:52:55 +0900] "GET /image?imageName=Sorrento.jpg HTTP/1.1" 200 25920
10.225.152.165 - - [07/Apr/2016:09:52:55 +0900] "GET /image?imageName=Genoa.jpg HTTP/1.1" 200 18105
10.225.152.165 - - [07/Apr/2016:09:52:55 +0900] "GET /image?imageName=Bergamo.jpg HTTP/1.1" 200 12214
10.225.152.165 - - [07/Apr/2016:09:52:55 +0900] "GET /image?imageName=Turin.jpg HTTP/1.1" 200 11418
10.225.152.165 - - [07/Apr/2016:09:52:55 +0900] "GET /image?imageName=Assisi.jpg HTTP/1.1" 200 9462
10.225.152.165 - - [07/Apr/2016:09:52:55 +0900] "GET /image?imageName=Ischia.jpg HTTP/1.1" 200 8516
10.225.152.165 - - [07/Apr/2016:09:52:55 +0900] "GET /image?imageName=Alghero.jpg HTTP/1.1" 200 11340
10.225.152.165 - - [07/Apr/2016:09:52:55 +0900] "GET /image?imageName=Cagliari.jpg HTTP/1.1" 200 12351
10.225.152.165 - - [07/Apr/2016:09:52:55 +0900] "GET /image?imageName=Champs-%C3%89lys%C3%A9es.jpg HTTP/1.1" 500 -
10.225.152.165 - - [07/Apr/2016:09:52:55 +0900] "GET /image?imageName=San%20Gimignano.JPG HTTP/1.1" 200 14760
10.225.152.165 - - [07/Apr/2016:09:52:55 +0900] "GET /image?imageName=Palace%20of%20Versailles.jpg HTTP/1.1" 200 24751
10.225.152.165 - - [07/Apr/2016:09:52:55 +0900] "GET /image?imageName=Salerno.jpg HTTP/1.1" 200 9337
10.225.152.165 - - [07/Apr/2016:09:52:55 +0900] "GET /image?imageName=Orvieto.jpg HTTP/1.1" 200 15857
10.225.152.165 - - [07/Apr/2016:09:52:55 +0900] "GET /image?imageName=Livigno.jpg HTTP/1.1" 200 8332
10.225.152.165 - - [07/Apr/2016:09:53:03 +0900] "GET /hitTheRoad HTTP/1.1" 200 127587
10.225.152.165 - - [07/Apr/2016:09:53:03 +0900] "GET /image?imageName=Hongdae.jpg HTTP/1.1" 200 25097
10.225.152.165 - - [07/Apr/2016:09:53:03 +0900] "GET /image?imageName=World%20Cup%20Park.jpg HTTP/1.1" 200 9727
10.225.152.165 - - [07/Apr/2016:09:53:03 +0900] "GET /image?imageName=Lotte%20World.jpg HTTP/1.1" 200 11501
10.225.152.165 - - [07/Apr/2016:09:53:03 +0900] "GET /image?imageName=Gwangjang%20Market.jpg HTTP/1.1" 200 14873
10.225.152.165 - - [07/Apr/2016:09:53:03 +0900] "GET /image?imageName=Ihwa%20Mural%20Village.jpg HTTP/1.1" 200 15192
10.225.152.165 - - [07/Apr/2016:09:53:09 +0900] "GET /myPack HTTP/1.1" 200 11592
10.225.152.165 - - [07/Apr/2016:09:53:10 +0900] "GET /hitTheRoad HTTP/1.1" 200 127587
10.225.152.165 - - [07/Apr/2016:09:53:10 +0900] "GET /image?imageName=Hongdae.jpg HTTP/1.1" 200 25097
10.225.152.165 - - [07/Apr/2016:09:53:10 +0900] "GET /image?imageName=World%20Cup%20Park.jpg HTTP/1.1" 200 9727
10.225.152.165 - - [07/Apr/2016:09:53:10 +0900] "GET /image?imageName=Lotte%20World.jpg HTTP/1.1" 200 11501
10.225.152.165 - - [07/Apr/2016:09:53:10 +0900] "GET /image?imageName=Gwangjang%20Market.jpg HTTP/1.1" 200 14873
10.225.152.165 - - [07/Apr/2016:09:53:10 +0900] "GET /image?imageName=Ihwa%20Mural%20Village.jpg HTTP/1.1" 200 15192
10.225.152.165 - - [07/Apr/2016:09:53:17 +0900] "GET /myPack HTTP/1.1" 200 11592
10.225.152.165 - - [07/Apr/2016:09:55:16 +0900] "GET /myPack HTTP/1.1" 200 11592
10.225.152.165 - - [07/Apr/2016:09:55:16 +0900] "GET /resource/styles.css HTTP/1.1" 304 -
10.225.152.165 - - [07/Apr/2016:09:55:16 +0900] "GET /resource/css/common/faq.css HTTP/1.1" 304 -
10.225.152.165 - - [07/Apr/2016:09:55:16 +0900] "GET /resource/css/pack/sharePack.css HTTP/1.1" 304 -
10.225.152.165 - - [07/Apr/2016:09:55:16 +0900] "GET /resource/css/place/recommendPlace.css HTTP/1.1" 304 -
10.225.152.165 - - [07/Apr/2016:09:55:16 +0900] "GET /resource/css/pack/myPack.css HTTP/1.1" 304 -
10.225.152.165 - - [07/Apr/2016:09:55:16 +0900] "GET /resource/js/jquery-1.12.1.js HTTP/1.1" 304 -
10.225.152.165 - - [07/Apr/2016:09:55:16 +0900] "GET /resource/js/json2.js HTTP/1.1" 304 -
10.225.152.165 - - [07/Apr/2016:09:55:16 +0900] "GET /resource/css/reserve/tripReservation.css HTTP/1.1" 304 -
10.225.152.165 - - [07/Apr/2016:09:55:16 +0900] "GET /assets/css/main.css HTTP/1.1" 304 -
10.225.152.165 - - [07/Apr/2016:09:55:17 +0900] "GET /assets/css/font-awesome.min.css HTTP/1.1" 304 -
10.225.152.165 - - [07/Apr/2016:09:55:18 +0900] "GET /myPack HTTP/1.1" 200 11592
10.225.152.165 - - [07/Apr/2016:09:55:18 +0900] "GET /resource/styles.css HTTP/1.1" 304 -
10.225.152.165 - - [07/Apr/2016:09:55:18 +0900] "GET /resource/css/common/faq.css HTTP/1.1" 304 -
10.225.152.165 - - [07/Apr/2016:09:55:18 +0900] "GET /resource/css/pack/myPack.css HTTP/1.1" 304 -
10.225.152.165 - - [07/Apr/2016:09:55:18 +0900] "GET /resource/css/place/recommendPlace.css HTTP/1.1" 304 -
10.225.152.165 - - [07/Apr/2016:09:55:18 +0900] "GET /resource/css/reserve/tripReservation.css HTTP/1.1" 304 -
10.225.152.165 - - [07/Apr/2016:09:55:18 +0900] "GET /resource/js/jquery-1.12.1.js HTTP/1.1" 304 -
10.225.152.165 - - [07/Apr/2016:09:55:18 +0900] "GET /resource/js/json2.js HTTP/1.1" 304 -
10.225.152.165 - - [07/Apr/2016:09:55:18 +0900] "GET /resource/css/pack/sharePack.css HTTP/1.1" 304 -
10.225.152.165 - - [07/Apr/2016:09:55:18 +0900] "GET /assets/css/main.css HTTP/1.1" 304 -
10.225.152.165 - - [07/Apr/2016:09:55:18 +0900] "GET /assets/css/font-awesome.min.css HTTP/1.1" 304 -
10.225.152.165 - - [07/Apr/2016:09:55:20 +0900] "GET /myPack HTTP/1.1" 200 11592
